id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.CAD.price,quote.CAD.volume_24h,quote.CAD.volume_change_24h,quote.CAD.percent_change_1h,quote.CAD.percent_change_24h,quote.CAD.percent_change_7d,quote.CAD.percent_change_30d,quote.CAD.percent_change_60d,quote.CAD.percent_change_90d,quote.CAD.market_cap,quote.CAD.market_cap_dominance,quote.CAD.fully_diluted_market_cap,quote.CAD.tvl,quote.CAD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11161,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19717796.0,19717796.0,False,,1,,,,2024-06-27T15:03:00.000Z,84352.18124553259,31901060869.11868,-3.8928,-0.88953471,-0.06895092,-5.06829426,-9.28232794,-3.14911947,-11.94588994,1663239101954.4373,53.0611,1771395806156.184,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
1027,Ethereum,ETH,ethereum,9104,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120180875.2351428,120180875.2351428,True,,2,,,,2024-06-27T15:02:00.000Z,4715.681376068721,18193604963.2563,20.1346,-0.6531701,2.08797489,-2.22059387,-10.70519229,3.87291146,-2.68352042,566734715106.0015,18.0819,566734715106.001,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
825,Tether USDt,USDT,tether,90246,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112780783337.5052,116076856624.97296,True,,3,,,,2024-06-27T15:02:00.000Z,1.3679208656026063,65636386502.864136,4.4979,-0.0073629,-0.07555504,-0.04359251,0.00132643,-0.05366497,-0.1267831,154275186766.38013,4.9221,158783954190.85788,,2024-06-27T15:02:05.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-27 11:03:49.317146
1839,BNB,BNB,bnb,2187,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583381.4492261,147583381.4492261,False,,4,,,,2024-06-27T15:02:00.000Z,792.3614495388456,2306041216.914114,10.7589,0.18129697,0.8282208,-2.97028882,-3.38075677,-4.46581056,-6.02776592,116939382052.95319,3.7284,116939382052.94849,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
5426,Solana,SOL,solana,694,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462359805.4953002,579084686.4836911,True,,5,,,,2024-06-27T15:02:00.000Z,202.47799265055082,3580073280.71712,36.8963,0.01953544,7.34488702,9.88821861,-12.28486382,4.02727301,-21.51533378,93617685298.9875,2.9848,117251904893.89055,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
3408,USDC,USDC,usd-coin,20414,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32866184503.876423,32866184503.876423,False,,6,,,,2024-06-27T15:02:00.000Z,1.3689698365315763,7428738315.875268,5.1279,-0.01659957,-0.00743423,-0.00832934,-0.01485477,-0.02273655,-0.03180871,44992815227.68833,1.4355,44992815227.68618,,2024-06-27T15:02:05.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-27 11:03:49.317146
52,XRP,XRP,xrp,1345,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55688327582.0,99987490594.0,False,,7,,,,2024-06-27T15:03:00.000Z,0.646786261718053,1198739647.1987917,-0.7879,-0.51331884,0.1500935,-4.51769109,-10.50341576,-9.04954636,-25.6394376,36018445218.09212,1.1491,64678626171.807495,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
11419,Toncoin,TON,toncoin,442,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2459625673.1477265,5108179089.570425,True,,8,3414166606.0,26130262843.722385,,2024-06-27T15:02:00.000Z,10.479201200840505,368596344.3629839,3.198,-0.30805757,2.29713379,6.85084287,19.32701723,39.4600554,50.54010333,25774912307.66779,0.8224,53529636449.540085,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
74,Dogecoin,DOGE,dogecoin,1015,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144883106383.70526,144883106383.70526,True,,9,,,,2024-06-27T15:03:00.000Z,0.1691989744055819,787580876.9193208,-0.7709,-0.56007533,-0.52940407,0.12633013,-24.38785807,-17.62761916,-42.50433101,24514073008.81775,0.7821,24514073008.82331,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
2010,Cardano,ADA,cardano,1202,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35749050729.208,36994116264.584,False,,10,,,,2024-06-27T15:02:00.000Z,0.529979556085696,373949687.3628649,15.7016,-0.78519836,-1.45677143,1.05102036,-14.88139159,-17.51772309,-41.60605375,18946266035.950684,0.6043,23849080023.85244,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
